diagnostic,condition,representation,research_seed,adaptation_budget,training_final_tail,frozen_success,random_success,success_rate,start_checkpoint_fingerprint,evaluation_checkpoint_fingerprint,final_checkpoint_fingerprint,effect_updates,intervention_rate,mean_decision_regret,dead_end_entry_rate,root_action_optimality,graph_sha256,novelty_score,reusable_success_rate,creative_candidate
diagnostic_2b,encoder_comparison,relational_effect_representation,2011,4,,,,0.0,86b22ad08e4675bab470f325c86f350f48e8d1a5de114abc0caac05df9c60557,0d89af0e784bbab2330569a91a98731287806e9dd93697e4a467db79986b19a1,0d89af0e784bbab2330569a91a98731287806e9dd93697e4a467db79986b19a1,1918,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,2011,16,,,,0.0,86b22ad08e4675bab470f325c86f350f48e8d1a5de114abc0caac05df9c60557,8496df8465443da4a625d1985a36608a6b76c21da290e2ba369a8bca52797ead,8496df8465443da4a625d1985a36608a6b76c21da290e2ba369a8bca52797ead,1995,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2027,1,,,,0.0,f2814db14c089d3327f05730bf276b1452513d425a826f0fde32d3684202512e,735dd46626b7c5421b0a0045718312cdd45476b676a60a8274ba058478190db8,735dd46626b7c5421b0a0045718312cdd45476b676a60a8274ba058478190db8,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2027,4,,,,0.5,f2814db14c089d3327f05730bf276b1452513d425a826f0fde32d3684202512e,4a48187ba02f5b6f4a00ff6ae7999d24ae36f29b714b0fa238aaf437f0bb2d71,4a48187ba02f5b6f4a00ff6ae7999d24ae36f29b714b0fa238aaf437f0bb2d71,0,,,,,,,,
diagnostic_2b,encoder_comparison,identity_representation,2027,16,,,,0.5,f2814db14c089d3327f05730bf276b1452513d425a826f0fde32d3684202512e,f6658e2d30f5253dccedd0ee77a3a398b2a81d63bb7064b629c2463c75481d53,f6658e2d30f5253dccedd0ee77a3a398b2a81d63bb7064b629c2463c75481d53,0,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,2027,1,,,,0.0,090f2e7a46c7ccf65142f86febafed7c706aa3d6d2b916ba0c3046f8859f27e5,4c30231c8669e5f4828b5a7a921beecdc672f40ded268c215ada66659469dad5,4c30231c8669e5f4828b5a7a921beecdc672f40ded268c215ada66659469dad5,2113,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,2027,4,,,,0.0,090f2e7a46c7ccf65142f86febafed7c706aa3d6d2b916ba0c3046f8859f27e5,d02ca86890acec5119324c26009706b2d84494b2a29848f063c55273fa09bccb,d02ca86890acec5119324c26009706b2d84494b2a29848f063c55273fa09bccb,2134,,,,,,,,
diagnostic_2b,encoder_comparison,relational_effect_representation,2027,16,,,,0.0,090f2e7a46c7ccf65142f86febafed7c706aa3d6d2b916ba0c3046f8859f27e5,37d31ea541ca6a2af6f4b663a0008973db169b2106e48f6bde5b5953b3b0512c,37d31ea541ca6a2af6f4b663a0008973db169b2106e48f6bde5b5953b3b0512c,2190,,,,,,,,
diagnostic_4,policy_only,relational_effect_representation,2003,0,,,,0.0,,,,0,0.0,0.022500000000000017,0.0,0.0,,,,
diagnostic_4,random_model_gated,relational_effect_representation,2003,0,,,,0.0,,,,0,0.0,0.022500000000000017,0.0,0.25,,,,
diagnostic_4,learned_model_gated,relational_effect_representation,2003,0,,,,1.0,,,,0,0.2,0.01200000000000001,0.0,0.6,,,,
diagnostic_4,oracle_model_upper_bound,relational_effect_representation,2003,0,,,,1.0,,,,0,0.3333333333333333,0.0,0.0,1.0,,,,
diagnostic_4,policy_only,relational_effect_representation,2011,0,,,,1.0,,,,0,0.0,0.0,0.0,0.0,,,,
diagnostic_4,random_model_gated,relational_effect_representation,2011,0,,,,1.0,,,,0,0.0,0.0,0.0,1.0,,,,
diagnostic_4,learned_model_gated,relational_effect_representation,2011,0,,,,1.0,,,,0,0.0,0.0,0.0,1.0,,,,
diagnostic_4,oracle_model_upper_bound,relational_effect_representation,2011,0,,,,1.0,,,,0,0.0,0.0,0.0,1.0,,,,
diagnostic_4,policy_only,relational_effect_representation,2027,0,,,,1.0,,,,0,0.0,0.0070567500000000005,0.0,0.0,,,,
diagnostic_4,random_model_gated,relational_effect_representation,2027,0,,,,1.0,,,,0,0.0,0.0070567500000000005,0.0,0.75,,,,
diagnostic_4,learned_model_gated,relational_effect_representation,2027,0,,,,1.0,,,,0,0.0,0.0070567500000000005,0.0,0.75,,,,
diagnostic_4,oracle_model_upper_bound,relational_effect_representation,2027,0,,,,1.0,,,,0,0.3333333333333333,0.0,0.0,1.0,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2003,0,,,,1.0,6b52d4b8e8159a2eb068b2f9dffadfbaadacd823da70c500ef1bd450dba676ba,6b52d4b8e8159a2eb068b2f9dffadfbaadacd823da70c500ef1bd450dba676ba,6b52d4b8e8159a2eb068b2f9dffadfbaadacd823da70c500ef1bd450dba676ba,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2003,1,,,,1.0,6b52d4b8e8159a2eb068b2f9dffadfbaadacd823da70c500ef1bd450dba676ba,b12b2563156f6f46a1d0dcc9644b4450381d10c8b54dc283152e611a334affc1,b12b2563156f6f46a1d0dcc9644b4450381d10c8b54dc283152e611a334affc1,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2003,4,,,,1.0,6b52d4b8e8159a2eb068b2f9dffadfbaadacd823da70c500ef1bd450dba676ba,099f5a9d2fb604683d86a309b5962ced9dac6ac2eecde1ab6df648067d82bf29,099f5a9d2fb604683d86a309b5962ced9dac6ac2eecde1ab6df648067d82bf29,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2003,16,,,,1.0,6b52d4b8e8159a2eb068b2f9dffadfbaadacd823da70c500ef1bd450dba676ba,198925a63534c211842bf5516a56d258b5c351f26544d46536752f22c1cbdbb5,198925a63534c211842bf5516a56d258b5c351f26544d46536752f22c1cbdbb5,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2003,64,,,,1.0,6b52d4b8e8159a2eb068b2f9dffadfbaadacd823da70c500ef1bd450dba676ba,5a9539079790ea404c714db02836891142a6bee67a94b6fa03c3bec3c7a8d200,5a9539079790ea404c714db02836891142a6bee67a94b6fa03c3bec3c7a8d200,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2003,0,,,,1.0,3ab880cf7c43ba63ea7d065e775012a81a2735d4a5166de079c49691803f9087,3ab880cf7c43ba63ea7d065e775012a81a2735d4a5166de079c49691803f9087,3ab880cf7c43ba63ea7d065e775012a81a2735d4a5166de079c49691803f9087,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2003,1,,,,1.0,3ab880cf7c43ba63ea7d065e775012a81a2735d4a5166de079c49691803f9087,b9129340a2d73cc62557eccc01c60a359f927d23d22a2affd30c23743ae9c0e2,b9129340a2d73cc62557eccc01c60a359f927d23d22a2affd30c23743ae9c0e2,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2003,4,,,,1.0,3ab880cf7c43ba63ea7d065e775012a81a2735d4a5166de079c49691803f9087,b3d97b83607d4bdaaf9a1f60b5ce3022cc0ebe125955a15ad9f7ad43014d0985,b3d97b83607d4bdaaf9a1f60b5ce3022cc0ebe125955a15ad9f7ad43014d0985,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2003,16,,,,1.0,3ab880cf7c43ba63ea7d065e775012a81a2735d4a5166de079c49691803f9087,1e643a763a3551fc64bcccb9ce37ab3612257f856821f54cae57cf5fcf7adf5b,1e643a763a3551fc64bcccb9ce37ab3612257f856821f54cae57cf5fcf7adf5b,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2003,64,,,,1.0,3ab880cf7c43ba63ea7d065e775012a81a2735d4a5166de079c49691803f9087,7a595824c53ab569117253fa637e101e9be0e19dd3d019e2334051e3f34e8852,7a595824c53ab569117253fa637e101e9be0e19dd3d019e2334051e3f34e8852,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2011,0,,,,1.0,7a8b595a82870c8a887e118ead396c696c67e02019f4ff844d5bb017c6bea183,7a8b595a82870c8a887e118ead396c696c67e02019f4ff844d5bb017c6bea183,7a8b595a82870c8a887e118ead396c696c67e02019f4ff844d5bb017c6bea183,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2011,1,,,,1.0,7a8b595a82870c8a887e118ead396c696c67e02019f4ff844d5bb017c6bea183,e44f36dadd74d8a6139ef5a3eaae66e86d76c4614b79024af0b00a446af04506,e44f36dadd74d8a6139ef5a3eaae66e86d76c4614b79024af0b00a446af04506,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2011,4,,,,1.0,7a8b595a82870c8a887e118ead396c696c67e02019f4ff844d5bb017c6bea183,b7742697bbcf63e796fafec17427c961280e737756b7552f59bdce33825621a1,b7742697bbcf63e796fafec17427c961280e737756b7552f59bdce33825621a1,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2011,16,,,,1.0,7a8b595a82870c8a887e118ead396c696c67e02019f4ff844d5bb017c6bea183,87a0d90cca64010b12d92ae6eab676b3612efa70275a13594319b2f79e02ca0d,87a0d90cca64010b12d92ae6eab676b3612efa70275a13594319b2f79e02ca0d,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2011,64,,,,1.0,7a8b595a82870c8a887e118ead396c696c67e02019f4ff844d5bb017c6bea183,30ccc9fd2e5f5767c95f03668c4320d98968baf36316bdfe9fccd864e067aed0,30ccc9fd2e5f5767c95f03668c4320d98968baf36316bdfe9fccd864e067aed0,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2011,0,,,,1.0,bdf8e7ba8a3f6b7777cc04bcf1e609a04f2c39816810d4342c79db0a148949c6,bdf8e7ba8a3f6b7777cc04bcf1e609a04f2c39816810d4342c79db0a148949c6,bdf8e7ba8a3f6b7777cc04bcf1e609a04f2c39816810d4342c79db0a148949c6,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2011,1,,,,1.0,bdf8e7ba8a3f6b7777cc04bcf1e609a04f2c39816810d4342c79db0a148949c6,142a77e4e1121dbe270e61176f0f419ee02f26ca97277eff158f9fcad00690a2,142a77e4e1121dbe270e61176f0f419ee02f26ca97277eff158f9fcad00690a2,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2011,4,,,,1.0,bdf8e7ba8a3f6b7777cc04bcf1e609a04f2c39816810d4342c79db0a148949c6,e6ce589eb37634447af887d74962dc87c6e7b2296a57817384b05127a878bad6,e6ce589eb37634447af887d74962dc87c6e7b2296a57817384b05127a878bad6,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2011,16,,,,1.0,bdf8e7ba8a3f6b7777cc04bcf1e609a04f2c39816810d4342c79db0a148949c6,bcb5bedca23567def0e6dd8c774168a12790c33a6d18cabd7a6d09ca15424afd,bcb5bedca23567def0e6dd8c774168a12790c33a6d18cabd7a6d09ca15424afd,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2011,64,,,,1.0,bdf8e7ba8a3f6b7777cc04bcf1e609a04f2c39816810d4342c79db0a148949c6,6290a92c8c905f2bd46f016ab06f173c1498ade068ad000dc509d70a90474745,6290a92c8c905f2bd46f016ab06f173c1498ade068ad000dc509d70a90474745,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2027,0,,,,1.0,28f2856945808e516ea1319c1bb16bbf72459fc64c372ffb58c9c21ea6f0ed6f,28f2856945808e516ea1319c1bb16bbf72459fc64c372ffb58c9c21ea6f0ed6f,28f2856945808e516ea1319c1bb16bbf72459fc64c372ffb58c9c21ea6f0ed6f,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2027,1,,,,1.0,28f2856945808e516ea1319c1bb16bbf72459fc64c372ffb58c9c21ea6f0ed6f,39b5eb20671dfec5834eb62fe8781339b7a693c282a0e94137d1892476cd3a96,39b5eb20671dfec5834eb62fe8781339b7a693c282a0e94137d1892476cd3a96,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2027,4,,,,1.0,28f2856945808e516ea1319c1bb16bbf72459fc64c372ffb58c9c21ea6f0ed6f,099d5728bc69bc621e3b7a9a80aa20ddb48155fd12061f65424afe7ec06e681c,099d5728bc69bc621e3b7a9a80aa20ddb48155fd12061f65424afe7ec06e681c,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2027,16,,,,1.0,28f2856945808e516ea1319c1bb16bbf72459fc64c372ffb58c9c21ea6f0ed6f,be5367e7d3c9455c8cbb86585662eb8c7151a846469f45348ccf099f2a6b95e0,be5367e7d3c9455c8cbb86585662eb8c7151a846469f45348ccf099f2a6b95e0,0,,,,,,,,
diagnostic_3,relational_transfer,relational_effect_representation,2027,64,,,,1.0,28f2856945808e516ea1319c1bb16bbf72459fc64c372ffb58c9c21ea6f0ed6f,2178755dae6ff32328724d35383358c56e5414939bf4e9466fa1e94534a314b5,2178755dae6ff32328724d35383358c56e5414939bf4e9466fa1e94534a314b5,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2027,0,,,,1.0,5e40201c7018f2024458711c85930d3b7c4e321d0c97768ff5af7881138a6851,5e40201c7018f2024458711c85930d3b7c4e321d0c97768ff5af7881138a6851,5e40201c7018f2024458711c85930d3b7c4e321d0c97768ff5af7881138a6851,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2027,1,,,,1.0,5e40201c7018f2024458711c85930d3b7c4e321d0c97768ff5af7881138a6851,855986064300056e5d3646905879aaef4e001d63bda98395a208603a3e557bac,855986064300056e5d3646905879aaef4e001d63bda98395a208603a3e557bac,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2027,4,,,,1.0,5e40201c7018f2024458711c85930d3b7c4e321d0c97768ff5af7881138a6851,6dfc763a716970ec5b5cf68c7595c32147de380dae93a080f7484d577c66e412,6dfc763a716970ec5b5cf68c7595c32147de380dae93a080f7484d577c66e412,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2027,16,,,,1.0,5e40201c7018f2024458711c85930d3b7c4e321d0c97768ff5af7881138a6851,b16eed38e615d04ebdf173504b71750e5678bbbb75b6a16d97649b5a1e5c46f6,b16eed38e615d04ebdf173504b71750e5678bbbb75b6a16d97649b5a1e5c46f6,0,,,,,,,,
diagnostic_3,from_scratch,relational_effect_representation,2027,64,,,,1.0,5e40201c7018f2024458711c85930d3b7c4e321d0c97768ff5af7881138a6851,89917c7f1b134dba80cf753b39f5cb12d63200cdb31ee6166d16e5bb18501528,89917c7f1b134dba80cf753b39f5cb12d63200cdb31ee6166d16e5bb18501528,0,,,,,,,,
